time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-07-19T07:26:40.770Z,36.5193,70.0961,215.106,5.1,mww,123,22,2.153,0.92,us,us7000kgsp,2023-09-28T21:33:47.040Z,"22 km ESE of Farkhār, Afghanistan",earthquake,6.77,4.283,0.061,26,reviewed,us,us
2023-07-13T20:49:11.810Z,36.5387,71.2765,229.843,4.5,mb,103,32,2.7,1.17,us,us7000kfk0,2023-09-16T19:16:14.040Z,"28 km SW of Ashkāsham, Afghanistan",earthquake,7.12,4.985,0.052,108,reviewed,us,us
2023-07-13T05:02:32.249Z,13.792,94.1092,39.377,4.5,mb,36,109,6.564,0.48,us,us7000kh4e,2023-09-16T19:16:23.040Z,"276 km NNE of Bamboo Flat, India",earthquake,11.75,7.683,0.106,27,reviewed,us,us
2023-07-10T01:19:22.886Z,4.1732,95.8678,64.465,4.7,mb,79,88,1.502,0.54,us,us7000kgkz,2023-09-16T19:16:20.040Z,"28 km W of Meulaboh, Indonesia",earthquake,7.23,5.994,0.074,55,reviewed,us,us
2023-07-10T01:19:07.884Z,3.8315,96.0442,71.438,4.5,mb,34,143,1.654,0.48,us,us6000kr8u,2023-09-16T19:16:07.040Z,"35 km SSW of Meulaboh, Indonesia",earthquake,9.9,8.522,0.083,43,reviewed,us,us
2023-07-10T00:08:53.217Z,33.2332,75.9099,27.461,4.9,mb,138,44,2.247,0.66,us,us6000kr8m,2023-12-04T20:35:02.957Z,"15 km SE of Kishtwār, India",earthquake,8.01,4.458,0.052,117,reviewed,us,us
2023-07-09T14:09:03.074Z,5.508,94.5895,37.801,5.2,mww,97,63,2.364,0.93,us,us6000kr40,2023-09-16T19:16:06.040Z,"81 km W of Banda Aceh, Indonesia",earthquake,8.32,4.934,0.098,10,reviewed,us,us
2023-06-28T16:43:33.554Z,34.367,88.9465,10,4.5,mb,91,38,5.005,0.4,us,us6000knp8,2023-09-08T14:18:25.040Z,"western Xizang",earthquake,8.79,1.823,0.065,70,reviewed,us,us
2023-06-27T05:15:53.912Z,36.4892,71.2895,127.013,4.5,mb,68,70,2.672,0.75,us,us6000knce,2023-09-08T14:18:23.040Z,"30 km SW of Ashkāsham, Afghanistan",earthquake,6.53,7.12,0.075,52,reviewed,us,us
2023-06-26T18:05:37.303Z,9.3365,93.7769,10,4.6,mb,42,95,5.152,0.78,us,us6000kq95,2023-09-08T14:18:35.040Z,"281 km SSE of Port Blair, India",earthquake,4.19,1.882,0.101,29,reviewed,us,us
2023-06-26T13:32:03.058Z,9.2868,93.5555,10,4.9,mb,86,62,5.251,0.59,us,us7000kb4v,2023-09-08T14:18:42.040Z,"277 km SSE of Port Blair, India",earthquake,4.17,1.802,0.072,61,reviewed,us,us
2023-06-26T12:52:59.977Z,13.7408,92.7235,10,4.7,mb,53,92,7.597,0.43,us,us7000kb4r,2023-09-08T14:18:42.040Z,"225 km N of Bamboo Flat, India",earthquake,9.43,1.863,0.073,56,reviewed,us,us
2023-06-25T15:49:58.299Z,34.449,69.5154,14.775,4.5,mb,32,95,0.401,1.39,us,us7000kb05,2023-09-08T14:18:40.040Z,"32 km ESE of Kabul, Afghanistan",earthquake,6.36,5.421,0.09,36,reviewed,us,us
